N,P,K,temperature,ph,label,rainfall,humidity
90,42,43,20.87974371,6.502985292,rice,202.9355362,82.00274423
85,58,41,21.77046169,7.038096361,rice,226.6555374,80.31964408
60,55,44,23.00445915,7.840207144,rice,263.9642476,82.3207629
74,35,40,26.49109635,6.980400905,rice,242.8640342,80.15836264
78,42,42,20.13017482,7.628472891,rice,262.7173405,81.60487287
69,37,42,23.05804872,7.073453503,rice,251.0549998,83.37011772
69,55,38,22.70883798,5.70080568,rice,271.3248604,82.63941394
94,53,40,20.27774362,5.718627178,rice,241.9741949,82.89408619
89,54,38,24.51588066,6.685346424,rice,230.4462359,83.5352163
68,58,38,23.22397386,6.336253525,rice,221.2091958,83.03322691
91,53,40,26.52723513,5.386167788,rice,264.6148697,81.41753846
90,46,42,23.97898217,7.50283396,rice,250.0832336,81.45061596
78,58,44,26.80079604,5.108681786,rice,284.4364567,80.88684822
93,56,36,24.01497622,6.98435366,rice,185.2773389,82.05687182
94,50,37,25.66585205,6.94801983,rice,209.5869708,80.66385045
60,48,39,24.28209415,7.042299069,rice,231.0863347,80.30025587
85,38,41,21.58711777,6.249050656,rice,276.6552459,82.7883708
91,35,39,23.79391957,6.970859754,rice,206.2611855,80.41817957
77,38,36,21.8652524,5.953933276,rice,224.5550169,80.1923008
88,35,40,23.57943626,5.85393208,rice,291.2986618,83.58760316
89,45,36,21.32504158,6.442475375,rice,185.4974732,80.47476396
76,40,43,25.15745531,5.070175667,rice,231.3843163,83.11713476
67,59,41,21.94766735,6.012632591,rice,213.3560921,80.97384195
83,41,43,21.0525355,6.254028451,rice,233.1075816,82.67839517
98,47,37,23.48381344,7.375482851,rice,224.0581164,81.33265073
66,53,41,25.0756354,7.778915154,rice,257.0038865,80.52389148
97,59,43,26.35927159,6.286500176,rice,271.3586137,84.04403589
97,50,41,24.52922681,7.070959995,rice,260.2634026,80.54498576
60,49,44,20.77576147,6.244841491,rice,240.0810647,84.49774397
